03-20 04:24:58: Training starting...
03-20 04:24:59: New best reward -8.1 (-100.0%) at episode 0, saving model...
03-20 04:24:59: New best reward -6.9 (-14.8%) at episode 2, saving model...
03-20 04:24:59: New best reward -5.7 (-17.4%) at episode 3, saving model...
03-20 04:24:59: New best reward -4.5 (-21.1%) at episode 49, saving model...
03-20 04:25:00: New best reward -3.9 (-13.3%) at episode 270, saving model...
03-20 04:25:01: New best reward -2.1 (-46.2%) at episode 300, saving model...
03-20 04:25:05: New best reward 2.7 (-228.6%) at episode 880, saving model...
03-20 04:26:27: New best reward 3.9 (+44.4%) at episode 2476, saving model...
03-20 04:29:20: New best reward 6.1 (+56.4%) at episode 5162, saving model...
03-20 04:43:16: New best reward 6.2 (+1.6%) at episode 14865, saving model...
03-20 04:45:12: New best reward 6.3 (+1.6%) at episode 16300, saving model...
03-20 04:45:20: New best reward 6.8 (+7.9%) at episode 16442, saving model...
03-20 04:49:16: New best reward 8.4 (+23.5%) at episode 18757, saving model...
03-20 04:51:22: New best reward 8.5 (+1.2%) at episode 20018, saving model...
03-20 04:52:35: New best reward 10.8 (+27.1%) at episode 20626, saving model...
03-20 04:54:16: New best reward 12.9 (+19.4%) at episode 21504, saving model...
03-20 04:55:36: New best reward 13.2 (+2.3%) at episode 22391, saving model...
03-20 04:55:57: New best reward 13.4 (+1.5%) at episode 22664, saving model...
03-20 04:56:55: New best reward 14.0 (+4.5%) at episode 23198, saving model...
03-20 04:58:06: New best reward 15.0 (+7.1%) at episode 23885, saving model...
03-20 04:59:18: New best reward 18.8 (+25.3%) at episode 24588, saving model...
03-20 05:01:13: New best reward 22.4 (+19.1%) at episode 25797, saving model...
03-20 09:35:02: New best reward 26.9 (+20.1%) at episode 27817, saving model...
03-20 09:35:49: New best reward 27.9 (+3.7%) at episode 28772, saving model...
03-20 09:36:35: New best reward 29.4 (+5.4%) at episode 29374, saving model...
03-20 09:39:44: New best reward 32.2 (+9.5%) at episode 30570, saving model...
03-20 09:41:49: New best reward 32.8 (+1.9%) at episode 31352, saving model...
03-20 09:42:18: New best reward 34.3 (+4.6%) at episode 31526, saving model...
03-20 09:43:10: New best reward 36.4 (+6.1%) at episode 31832, saving model...
03-20 09:45:18: New best reward 36.9 (+1.4%) at episode 32555, saving model...
03-20 09:45:26: New best reward 40.9 (+10.8%) at episode 32586, saving model...
03-20 09:47:27: New best reward 48.1 (+17.6%) at episode 33542, saving model...
03-20 10:10:07: New best reward 48.6 (+1.0%) at episode 41451, saving model...
03-20 10:22:35: New best reward 50.4 (+3.7%) at episode 45750, saving model...
03-20 10:33:37: New best reward 56.1 (+11.3%) at episode 49493, saving model...
03-20 10:46:17: New best reward 60.5 (+7.8%) at episode 53735, saving model...
